date,last_date,season,week,home,away,p_home,first_p_home,mkt_p,first_mkt_p,outcome
2026-07-07,2026-09-09,2026,1,SEA,NE,65.0,66.9,61.4,63.7,home
2026-07-07,2026-09-10,2026,1,LA,SF,56.3,57.0,63.9,63.0,away
2026-07-07,2026-09-13,2026,1,CAR,CHI,40.7,42.7,12.6,42.9,away
2026-07-07,2026-09-13,2026,1,CIN,TB,55.1,57.0,87.4,63.4,home
2026-07-07,2026-09-13,2026,1,DET,NO,69.9,71.8,84.1,74.0,home
2026-07-07,2026-09-13,2026,1,HOU,BUF,54.8,56.8,49.0,48.9,away
2026-07-07,2026-09-13,2026,1,IND,BAL,44.3,46.1,16.5,37.2,away
2026-07-07,2026-09-13,2026,1,JAX,CLE,74.0,75.4,96.3,76.4,home
2026-07-07,2026-09-13,2026,1,PIT,ATL,60.5,62.3,60.7,59.4,home
2026-07-07,2026-09-13,2026,1,TEN,NYJ,54.6,56.4,38.4,57.2,away
2026-07-07,2026-09-13,2026,1,LAC,ARI,72.5,74.1,80.0,82.2,away
2026-07-07,2026-09-13,2026,1,LV,MIA,40.2,41.8,59.7,63.5,home
2026-07-07,2026-09-13,2026,1,MIN,GB,57.8,60.3,54.5,49.8,home
2026-07-07,2026-09-13,2026,1,PHI,WAS,66.3,69.6,70.0,65.5,home
2026-07-07,2026-09-13,2026,1,NYG,DAL,50.7,52.5,39.8,42.9,home
2026-07-07,2026-09-14,2026,1,KC,DEN,39.0,39.9,54.4,57.8,home
